,RU_ID,diff_var,pre_inc,last_inc,diff_inc,peak,MA_inc,RU_ID,Rule_Class
36,SEC0009926_RQIC70438T,0.0026554190415529265,0.25177890262663283,1.3499999999999996,-1.0982210973733668,0.40000000000000036,-1.6017789026266325,SEC0009926_RQIC70438T,B
37,SEC0009839_RQIC01993T,0.03207365747460084,1.6999999999999993,0.75,0.9499999999999993,0.8000000000000007,-2.4499999999999993,SEC0009839_RQIC01993T,B
38,SEC0010734_RNIC70012T,0.031542089985486146,2.3999999999999986,-1.4500000000000028,3.8500000000000014,1.3999999999999986,-0.7999999999999972,SEC0010734_RNIC70012T,C
39,SEC0006291_RQIC01992T,0.022652394775036302,1.0,0.4499999999999993,0.5500000000000007,0.6999999999999993,-1.4499999999999993,SEC0006291_RQIC01992T,B
40,SEC0009830_RQKG04082T,0.02160014513788104,1.0499999999999972,0.3500000000000014,0.6999999999999957,0.6999999999999993,-1.3999999999999986,SEC0009830_RQKG04082T,B
41,SEC0008653_RNIC01072T,0.02775217706821474,2.0999999999999943,0.7000000000000028,1.3999999999999915,1.3000000000000007,-2.799999999999997,SEC0008653_RNIC01072T,C
42,SEC0006490_RQKG10160T,0.007202467343976722,0.8500000000000014,0.4499999999999993,0.40000000000000213,0.40000000000000213,-1.3000000000000007,SEC0006490_RQKG10160T,B
43,SEC0006214_RNKG04107T,0.037270408163265344,2.1499999999999986,4.150000000000002,-2.0000000000000036,2.1000000000000014,-6.300000000000001,SEC0006214_RNKG04107T,C
44,SEC0006219_RQKG04345T,0.004978987521752789,0.45243775662796004,1.2000000000000028,-0.7475622433720428,0.3000000000000007,-1.6524377566279629,SEC0006219_RQKG04345T,B
45,SEC0006491_RQKG10166T,0.018269387755101944,0.8000000000000043,0.25,0.5500000000000043,0.8999999999999986,-1.0500000000000043,SEC0006491_RQKG10166T,B
46,SEC0008362_RNKG01281T,0.010263062409288821,4.399999999999995,1.8999999999999986,2.4999999999999964,0.6999999999999993,-5.9999999999999964,SEC0008362_RNKG01281T,B
